state,date,value
MO,2014-01-01,15.5
MO,2015-01-01,14.8
MO,2016-01-01,14.0
MO,2017-01-01,13.4
MO,2018-01-01,13.2
MO,2019-01-01,12.9
MO,2020-01-01,12.1
MO,2021-01-01,12.8
MO,2022-01-01,13.1
MO,2023-01-01,12.0
MO,2024-01-01,12.2
MT,1989-01-01,15.0
MT,1990-01-01,
MT,1991-01-01,
MT,1992-01-01,
MT,1993-01-01,15.2
MT,1994-01-01,
MT,1995-01-01,15.8
MT,1996-01-01,15.1
MT,1997-01-01,15.5
MT,1998-01-01,15.7
MT,1999-01-01,14.3
MT,2000-01-01,13.3
MT,2001-01-01,14.0
MT,2002-01-01,14.0
MT,2003-01-01,14.2
MT,2004-01-01,13.6
MT,2005-01-01,14.6
MT,2006-01-01,14.4
MT,2007-01-01,14.1
MT,2008-01-01,14.1
MT,2009-01-01,15.0
MT,2010-01-01,15.2
MT,2011-01-01,15.2
MT,2012-01-01,15.6
MT,2013-01-01,16.1
MT,2014-01-01,15.2
MT,2015-01-01,14.4
MT,2016-01-01,13.4
MT,2017-01-01,12.7
MT,2018-01-01,12.9
MT,2019-01-01,12.6
MT,2020-01-01,12.4
MT,2021-01-01,12.0
MT,2022-01-01,11.8
MT,2023-01-01,11.8
MT,2024-01-01,10.4
NE,1989-01-01,11.1
NE,1990-01-01,
NE,1991-01-01,
NE,1992-01-01,
NE,1993-01-01,10.7
NE,1994-01-01,
NE,1995-01-01,9.8
NE,1996-01-01,9.4
NE,1997-01-01,9.6
NE,1998-01-01,10.3
NE,1999-01-01,9.7
NE,2000-01-01,8.9
NE,2001-01-01,9.3
NE,2002-01-01,10.0
NE,2003-01-01,9.9
NE,2004-01-01,10.0
NE,2005-01-01,11.0
NE,2006-01-01,11.3
NE,2007-01-01,11.1
NE,2008-01-01,10.8
NE,2009-01-01,12.2
NE,2010-01-01,12.6
NE,2011-01-01,12.9
NE,2012-01-01,12.8
NE,2013-01-01,12.9
NE,2014-01-01,12.3
NE,2015-01-01,12.2
NE,2016-01-01,11.3
NE,2017-01-01,10.7
NE,2018-01-01,11.0
NE,2019-01-01,9.9
NE,2020-01-01,9.2
NE,2021-01-01,10.5
NE,2022-01-01,11.1
NE,2023-01-01,10.2
NE,2024-01-01,10.6
NV,1989-01-01,10.0
NV,1990-01-01,
NV,1991-01-01,
NV,1992-01-01,
NV,1993-01-01,11.5
NV,1994-01-01,
NV,1995-01-01,10.5
NV,1996-01-01,9.6
NV,1997-01-01,10.7
NV,1998-01-01,10.5
NV,1999-01-01,10.2
NV,2000-01-01,9.4
NV,2001-01-01,9.3
NV,2002-01-01,10.1
NV,2003-01-01,11.0
NV,2004-01-01,11.1
NV,2005-01-01,11.1
NV,2006-01-01,10.5
NV,2007-01-01,10.6
NV,2008-01-01,11.2
NV,2009-01-01,12.4
NV,2010-01-01,14.8
NV,2011-01-01,15.8
NV,2012-01-01,16.2
NV,2013-01-01,15.8
NV,2014-01-01,15.4
NV,2015-01-01,14.9
NV,2016-01-01,14.1
NV,2017-01-01,13.3
NV,2018-01-01,13.1
NV,2019-01-01,12.7
NV,2020-01-01,12.5
NV,2021-01-01,14.0
NV,2022-01-01,12.6
NV,2023-01-01,12.2
NV,2024-01-01,11.8
NH,1989-01-01,6.7
NH,1990-01-01,
NH,1991-01-01,
NH,1992-01-01,
NH,1993-01-01,8.6
NH,1994-01-01,
NH,1995-01-01,6.9
NH,1996-01-01,6.3
NH,1997-01-01,7.5
NH,1998-01-01,7.5
NH,1999-01-01,6.8
